,time,price
683,2018-01-04 11:53:50,46.725
684,2018-01-04 11:54:00,46.78
685,2018-01-04 11:54:10,46.76
689,2018-01-04 11:54:50,46.78
691,2018-01-04 11:55:10,46.76
695,2018-01-04 11:55:50,46.76
696,2018-01-04 11:56:00,46.76
697,2018-01-04 11:56:10,46.76
699,2018-01-04 11:56:30,46.74
700,2018-01-04 11:56:40,46.7201
702,2018-01-04 11:57:00,46.74
705,2018-01-04 11:57:30,46.8
708,2018-01-04 11:58:00,46.73
709,2018-01-04 11:58:10,46.8
710,2018-01-04 11:58:20,46.8
712,2018-01-04 11:58:40,46.82
713,2018-01-04 11:58:50,46.88
716,2018-01-04 11:59:20,46.73
717,2018-01-04 11:59:30,46.8799
720,2018-01-04 12:00:00,46.86
721,2018-01-04 12:00:10,46.78
723,2018-01-04 12:00:30,46.725
724,2018-01-04 12:00:40,46.89
730,2018-01-04 12:01:40,46.68
733,2018-01-04 12:02:10,46.68
736,2018-01-04 12:02:40,46.6827
738,2018-01-04 12:03:00,46.85
739,2018-01-04 12:03:10,46.79
742,2018-01-04 12:03:40,46.69
743,2018-01-04 12:03:50,46.69
745,2018-01-04 12:04:10,46.69
749,2018-01-04 12:04:50,46.76
752,2018-01-04 12:05:20,46.73
756,2018-01-04 12:06:00,46.67
759,2018-01-04 12:06:30,46.65
760,2018-01-04 12:06:40,46.77
762,2018-01-04 12:07:00,46.68
763,2018-01-04 12:07:10,46.74
766,2018-01-04 12:07:40,46.75
768,2018-01-04 12:08:00,46.74
769,2018-01-04 12:08:10,46.82
771,2018-01-04 12:08:30,46.68
773,2018-01-04 12:08:50,46.8
774,2018-01-04 12:09:00,46.65
775,2018-01-04 12:09:10,46.64
776,2018-01-04 12:09:20,46.8
779,2018-01-04 12:09:50,46.76
780,2018-01-04 12:10:00,46.75
784,2018-01-04 12:10:40,46.62
785,2018-01-04 12:10:50,46.7
790,2018-01-04 12:11:40,46.59
792,2018-01-04 12:12:00,46.7
793,2018-01-04 12:12:10,46.693000000000005
795,2018-01-04 12:12:30,46.57
796,2018-01-04 12:12:40,46.53
797,2018-01-04 12:12:50,46.69
799,2018-01-04 12:13:10,46.67
801,2018-01-04 12:13:30,46.655
805,2018-01-04 12:14:10,46.64
806,2018-01-04 12:14:20,46.63
807,2018-01-04 12:14:30,46.63
808,2018-01-04 12:14:40,46.54
809,2018-01-04 12:14:50,46.49
811,2018-01-04 12:15:10,46.5201
818,2018-01-04 12:16:20,46.5
819,2018-01-04 12:16:30,46.5
821,2018-01-04 12:16:50,46.51
822,2018-01-04 12:17:00,46.64
824,2018-01-04 12:17:20,46.6599
833,2018-01-04 12:18:50,46.66
834,2018-01-04 12:19:00,46.47
835,2018-01-04 12:19:10,46.71
838,2018-01-04 12:19:40,46.66
839,2018-01-04 12:19:50,46.52
840,2018-01-04 12:20:00,46.55
841,2018-01-04 12:20:10,46.6599
842,2018-01-04 12:20:20,46.6
844,2018-01-04 12:20:40,46.59
845,2018-01-04 12:20:50,46.59
856,2018-01-04 12:22:40,46.6042
858,2018-01-04 12:23:00,46.58
859,2018-01-04 12:23:10,46.555
861,2018-01-04 12:23:30,46.6
863,2018-01-04 12:23:50,46.57
864,2018-01-04 12:24:00,46.56
865,2018-01-04 12:24:10,46.556000000000004
866,2018-01-04 12:24:20,46.55
869,2018-01-04 12:24:50,46.54
871,2018-01-04 12:25:10,46.54
872,2018-01-04 12:25:20,46.55
875,2018-01-04 12:25:50,46.55
881,2018-01-04 12:26:50,46.555
883,2018-01-04 12:27:10,46.55
884,2018-01-04 12:27:20,46.44
887,2018-01-04 12:27:50,46.68
888,2018-01-04 12:28:00,46.52
889,2018-01-04 12:28:10,46.55
890,2018-01-04 12:28:20,46.69
893,2018-01-04 12:28:50,46.79
894,2018-01-04 12:29:00,46.75
895,2018-01-04 12:29:10,46.73
900,2018-01-04 12:30:00,46.68
903,2018-01-04 12:30:30,46.63
908,2018-01-04 12:31:20,46.52
909,2018-01-04 12:31:30,46.5701
910,2018-01-04 12:31:40,46.62
915,2018-01-04 12:32:30,46.59
916,2018-01-04 12:32:40,46.6
921,2018-01-04 12:33:30,46.53
927,2018-01-04 12:34:30,46.65
928,2018-01-04 12:34:40,46.55
929,2018-01-04 12:34:50,46.66
930,2018-01-04 12:35:00,46.59
934,2018-01-04 12:35:40,46.52
941,2018-01-04 12:36:50,46.655
943,2018-01-04 12:37:10,46.655
945,2018-01-04 12:37:30,46.63
946,2018-01-04 12:37:40,46.52
947,2018-01-04 12:37:50,46.52
948,2018-01-04 12:38:00,46.59
950,2018-01-04 12:38:20,46.5499
953,2018-01-04 12:38:50,46.66
954,2018-01-04 12:39:00,46.55
955,2018-01-04 12:39:10,46.56
956,2018-01-04 12:39:20,46.61
957,2018-01-04 12:39:30,46.61
958,2018-01-04 12:39:40,46.62
961,2018-01-04 12:40:10,46.59
962,2018-01-04 12:40:20,46.58
963,2018-01-04 12:40:30,46.58
966,2018-01-04 12:41:00,46.56
968,2018-01-04 12:41:20,46.57
971,2018-01-04 12:41:50,46.59
972,2018-01-04 12:42:00,46.6
973,2018-01-04 12:42:10,46.69
974,2018-01-04 12:42:20,46.68
975,2018-01-04 12:42:30,46.63
976,2018-01-04 12:42:40,46.645
977,2018-01-04 12:42:50,46.65
981,2018-01-04 12:43:30,46.66
984,2018-01-04 12:44:00,46.58
985,2018-01-04 12:44:10,46.75
988,2018-01-04 12:44:40,46.69
992,2018-01-04 12:45:20,46.6
993,2018-01-04 12:45:30,46.7
995,2018-01-04 12:45:50,46.75
996,2018-01-04 12:46:00,46.59
997,2018-01-04 12:46:10,46.79
999,2018-01-04 12:46:30,46.75
1001,2018-01-04 12:46:50,46.75
1002,2018-01-04 12:47:00,46.65
1003,2018-01-04 12:47:10,46.67
1004,2018-01-04 12:47:20,46.74
1005,2018-01-04 12:47:30,46.78
1009,2018-01-04 12:48:10,46.7
1010,2018-01-04 12:48:20,46.74
1012,2018-01-04 12:48:40,46.73
1016,2018-01-04 12:49:20,46.71
1017,2018-01-04 12:49:30,46.7
1020,2018-01-04 12:50:00,46.75
1021,2018-01-04 12:50:10,46.65
1023,2018-01-04 12:50:30,46.65
1029,2018-01-04 12:51:30,46.66
1030,2018-01-04 12:51:40,46.62
1033,2018-01-04 12:52:10,46.5925
1034,2018-01-04 12:52:20,46.8
1041,2018-01-04 12:53:30,46.59
1043,2018-01-04 12:53:50,46.65
1044,2018-01-04 12:54:00,46.63
1046,2018-01-04 12:54:20,46.62
1050,2018-01-04 12:55:00,46.65
1051,2018-01-04 12:55:10,46.64
1057,2018-01-04 12:56:10,46.83
1058,2018-01-04 12:56:20,46.79
1059,2018-01-04 12:56:30,46.8
1062,2018-01-04 12:57:00,46.64
1065,2018-01-04 12:57:30,46.875
1067,2018-01-04 12:57:50,46.67
1070,2018-01-04 12:58:20,46.67
1073,2018-01-04 12:58:50,46.67
1077,2018-01-04 12:59:30,46.67
1079,2018-01-04 12:59:50,46.67
